[Lam 0.100]	  4.1387	  8.4504 
[Lam 0.200]	  3.6649	  6.9839 
[Lam 0.300]	  3.2617	  6.4416 
[Lam 0.400]	  2.9399	  6.2979 
[Lam 0.500]	  2.6806	  6.3467 
[Lam 0.600]	  2.4727	  7.1670 
[Lam 0.700]	  2.3010	  7.8477 
[Lam 0.800]	  2.1805	  8.9437 
[Lam 0.900]	  2.0783	 10.1947 
[Lam 1.000]	  2.0223	 11.8517 
[Lam 1.100]	  1.9638	 13.4480 
[Lam 1.200]	  1.9413	 15.8823 
[Lam 1.300]	  1.9283	 17.8813 
[Lam 1.400]	  1.9273	 20.4354 
[Lam 1.500]	  1.9576	 23.7443 
[Lam 1.600]	  1.9628	 25.8419 
[Lam 1.700]	  2.0078	 29.3087 
[Lam 1.800]	  2.0799	 33.5431 
[Lam 1.900]	  2.1344	 37.6099 
[Lam 2.000]	  2.2271	 42.0728 
[Lam 2.100]	  2.2834	 46.4539 
[Lam 2.200]	  2.3747	 50.8591 
[Lam 2.300]	  2.4679	 56.3560 
[Lam 2.400]	  2.5685	 61.4764 
[Lam 2.500]	  2.6824	 67.6955 
[Lam 2.600]	  2.8008	 74.1102 
[Lam 2.700]	  2.9384	 80.8199 
[Lam 2.800]	  3.0755	 87.9256 
[Lam 2.900]	  3.2388	 96.5341 
[Lam 3.000]	  3.3685	 104.0594 
[Lam 3.100]	  3.5197	 112.1292 
[Lam 3.200]	  3.7101	 122.0195 
[Lam 3.300]	  3.8586	 130.8892 
[Lam 3.400]	  4.0632	 141.3093 
[Lam 3.500]	  4.2479	 152.5257 
[Lam 3.600]	  4.4480	 163.1483 
[Lam 3.700]	  4.6341	 174.1026 
[Lam 3.800]	  4.8730	 187.6909 
[Lam 3.900]	  5.0950	 200.6881 
[Lam 4.000]	  5.3184	 213.7428 
[Lam 4.100]	  5.5457	 227.6294 
[Lam 4.200]	  5.7962	 242.8265 
[Lam 4.300]	  6.0400	 258.1552 
[Lam 4.400]	  6.3006	 274.9410 
[Lam 4.500]	  6.5845	 293.7103 
[Lam 4.600]	  6.8353	 309.3684 
[Lam 4.700]	  7.1358	 328.7732 
[Lam 4.800]	  7.4137	 347.8105 
[Lam 4.900]	  7.7846	 372.6687 
[Lam 5.000]	  8.0053	 387.8803 
[Lam 5.100]	  8.3648	 412.5219 
[Lam 5.200]	  8.6808	 434.8959 
[Lam 5.300]	  8.9925	 457.7365 
[Lam 5.400]	  9.3577	 483.7411 
[Lam 5.500]	  9.7679	 514.1297 
[Lam 5.600]	 10.0689	 537.8822 
[Lam 5.700]	 10.4586	 566.7287 
[Lam 5.800]	 10.8895	 600.4744 
[Lam 5.900]	 11.2763	 629.8283 
[Lam 6.000]	 11.6774	 663.3749 
[Lam 6.100]	 12.0532	 693.3152 
[Lam 6.200]	 12.4964	 729.4386 
[Lam 6.300]	 12.9900	 770.8136 
[Lam 6.400]	 13.4217	 808.5109 
[Lam 6.500]	 13.9613	 854.3828 
[Lam 6.600]	 14.3115	 885.7960 
[Lam 6.700]	 14.8193	 930.8989 
[Lam 6.800]	 15.2279	 967.1557 
[Lam 6.900]	 15.7380	 1014.3911 
[Lam 7.000]	 16.2352	 1059.1139 
[Lam 7.100]	 16.7869	 1111.9693 
[Lam 7.200]	 17.3362	 1165.1996 
[Lam 7.300]	 17.7984	 1210.5547 
[Lam 7.400]	 18.4583	 1275.4649 
[Lam 7.500]	 18.8822	 1318.5841 
[Lam 7.600]	 19.5129	 1382.9362 
[Lam 7.700]	 19.9861	 1431.5021 
[Lam 7.800]	 20.6992	 1507.7313 
[Lam 7.900]	 21.1200	 1551.8416 
[Lam 8.000]	 21.7541	 1619.1673 
[Lam 8.100]	 22.3151	 1681.9916 
[Lam 8.200]	 23.0048	 1758.6511 
[Lam 8.300]	 23.7746	 1844.0248 
[Lam 8.400]	 24.2351	 1896.8059 
[Lam 8.500]	 24.9658	 1981.3298 
[Lam 8.600]	 25.4589	 2039.7430 
[Lam 8.700]	 26.2277	 2130.2774 
[Lam 8.800]	 26.7179	 2191.4043 
[Lam 8.900]	 27.3364	 2267.5971 
[Lam 9.000]	 28.0724	 2359.0329 
[Lam 9.100]	 28.7897	 2451.2610 
[Lam 9.200]	 29.2916	 2514.8485 
[Lam 9.300]	 29.9292	 2594.7547 
[Lam 9.400]	 30.8038	 2710.2687 
[Lam 9.500]	 31.2894	 2774.8781 
[Lam 9.600]	 31.9047	 2858.1218 
[Lam 9.700]	 32.6185	 2953.8749 
[Lam 9.800]	 33.3134	 3048.7942 
[Lam 9.900]	 33.8640	 3126.2033 
[Lam 10.000]	 34.7761	 3254.8944 
